subject_id,reactionTime,choices_1,choices_2,correct,image_idx
410370,656.100000008941,0,4,1,18
410370,795.899999991059,8,1,1,173
410370,816.59999999404,2,8,1,54
410370,702.20000000298,3,2,1,46
410370,826.600000008941,5,8,1,172
410370,552.40000000596,9,6,1,123
410370,616.800000011921,1,9,1,187
410370,619.29999999702,2,8,1,163
410370,752.40000000596,0,2,1,41
410370,978.90000000596,9,6,1,130
410370,690.300000011921,3,7,1,143
410370,670.70000000298,1,7,1,24
410370,1389.90000000596,8,6,1,163
410370,637.5,2,5,1,105
410370,770.70000000298,0,1,1,2
410370,815.90000000596,1,0,1,31
410370,653.699999988079,5,6,1,122
410370,716.800000011921,0,6,1,130
410370,951.90000000596,8,3,1,70
410370,629.70000000298,8,1,1,172
410370,865.600000008941,1,4,1,81
410370,722.70000000298,3,8,1,70
410370,714.40000000596,1,8,1,22
410370,886.40000000596,6,5,1,101
410370,824.09999999404,5,4,1,101
410370,1278.5,6,9,1,199
410370,810.20000000298,1,8,1,172
410370,849.20000000298,3,9,1,70
410370,945.100000008941,4,6,1,130
410370,1007.5,3,9,1,187
410370,963.70000000298,8,4,1,87
410370,1030.80000001192,4,3,1,63
410370,1130.70000000298,8,4,1,161
410370,882.20000000298,1,5,1,31
410370,828.100000008941,5,4,1,85
410370,1134.5,8,7,1,172
410370,747.5,8,1,1,163
410370,167.40000000596,9,4,1,191
433368,1823.09999999404,9,0,0,2
433368,1088.19999998808,8,1,1,161
433368,1014.59999999404,9,0,1,0
433368,1122.80000001192,5,1,1,22
433368,1669.59999999404,4,0,1,18
433368,1053.40000000596,0,5,1,8
433368,1280.60000000894,0,2,1,2
433368,1174.20000000298,8,9,1,163
433368,1091.59999999404,7,1,1,142
433368,925.20000000298,7,4,1,143
433368,NaN,6,3,NaN,130
433368,1439.5,0,2,1,44
433368,1325.20000000298,3,5,1,103
433368,1133.5,8,1,1,31
433368,1155.29999999702,9,4,1,199
433368,960.29999999702,5,2,1,103
433368,983.90000000596,7,9,1,142
433368,1383.29999999702,9,8,1,163
433368,1358.20000000298,5,0,1,101
433368,1159.39999999106,2,9,1,199
433368,1118.29999999702,5,2,1,41
433368,1163.90000000596,1,8,1,173
433368,1181.90000000596,4,8,1,81
